Muni,18-24,25-34,35-44,45-54,55-64,65-74,75-84,85-94,Grand Total
BARRINGTON,1736,1745,2061,3130,2691,1407,802,473,14045
BRISTOL,1814,2389,2009,2574,2739,2111,1137,694,15467
BURRILLVILLE,994,1602,1694,2294,2193,1226,518,294,10815
CENTRAL FALLS,1313,1807,1330,1315,1086,648,421,234,8154
CHARLESTOWN,565,768,777,1138,1364,1039,431,183,6265
COVENTRY,2626,3358,3662,5174,4495,2979,1441,698,24433
CRANSTON,5787,8777,8438,10251,9931,6095,3557,2562,55398
CUMBERLAND,2461,3834,4071,5150,4382,2801,1645,1021,25365
EAST GREENWICH,1403,1327,1545,2274,2026,1165,626,400,10766
EAST PROVIDENCE,3179,5874,5097,5655,5598,3766,2226,1507,32902
EXETER,654,758,630,1061,1100,636,183,86,5108
FOSTER,417,534,535,887,850,486,163,105,3977
GLOCESTER,818,1090,1168,1706,1743,965,390,142,8022
HOPKINTON,596,839,867,1301,1130,730,307,137,5907
JAMESTOWN,449,493,459,786,1183,882,306,158,4716
JOHNSTON,1898,3280,3361,4357,3970,2703,1602,1317,22488
LINCOLN,1779,2572,2537,3336,3055,1939,1180,736,17134
LITTLE COMPTON,239,346,367,544,629,547,296,111,3079
MIDDLETOWN,1059,1505,1404,2013,2009,1393,787,458,10628
NARRAGANSETT,1089,1781,1365,1948,2445,1965,923,430,11946
NEW SHOREHAM,60,169,197,234,291,278,127,46,1402
NEWPORT,1260,2570,2010,2204,2542,1979,945,442,13952
NORTH KINGSTOWN,2370,3019,2992,4460,4398,2814,1152,597,21802
NORTH PROVIDENCE,1967,3944,3747,4341,4240,2998,1871,1260,24368
NORTH SMITHFIELD,936,1260,1482,2002,1722,1316,635,572,9925
PAWTUCKET,4621,7928,6452,6933,6523,3813,2217,1234,39721
PORTSMOUTH,1411,1733,1633,2691,2719,1976,909,416,13488
PROVIDENCE,16640,29987,19386,16750,14090,8147,4008,2859,111867
RICHMOND,584,872,979,1373,1208,621,274,84,5995
SCITUATE,903,1051,1109,1760,1727,1103,481,248,8382
SMITHFIELD,1516,2032,2173,3050,2917,1922,1110,817,15537
SOUTH KINGSTOWN,2248,3563,2642,3585,4040,2781,1268,788,20915
TIVERTON,1033,1616,1696,2414,2311,1751,948,540,12309
WARREN,708,1125,1058,1442,1430,977,518,324,7582
WARWICK,5537,9911,9281,11182,11502,7595,4009,2472,61489
WEST GREENWICH,552,663,685,1115,1063,547,149,70,4844
WEST WARWICK,1703,3139,2830,3088,3338,2247,1088,648,18081
WESTERLY,1660,2553,2273,3189,3044,2286,1239,685,16929
WOONSOCKET,2416,5207,4469,4526,4111,2444,1338,919,25430